#;Name;Type 1;Type 2;Total;HP;Attack;Defense;Sp. Atk;Sp. Def;Speed;Generation;Legendary;CP
42;Golbat;Poison;Flying;455;75;80;70;65;75;90;1;False;830.910645
43;Oddish;Grass;Poison;320;45;50;55;75;65;30;1;False;421.2481454
44;Gloom;Grass;Poison;395;60;65;70;85;75;40;1;False;638.7487769
45;Vileplume;Grass;Poison;490;75;80;85;110;90;50;1;False;901.2491331
46;Paras;Bug;Grass;285;35;70;55;45;55;25;1;False;502.8667816
47;Parasect;Bug;Grass;405;60;95;80;60;80;30;1;False;928.5068659
48;Venonat;Bug;Poison;305;60;55;50;40;55;45;1;False;488.7484015
49;Venomoth;Bug;Poison;450;70;65;60;90;75;90;1;False;638.7487769
50;Diglett;Ground;;265;10;55;25;35;45;95;1;False;221.3594362
51;Dugtrio;Ground;;405;35;80;50;50;70;120;1;False;541.5833269
52;Meowth;Normal;;290;40;45;35;40;40;90;1;False;314.6426545
53;Persian;Normal;;440;65;70;60;65;65;115;1;False;658.4071689
54;Psyduck;Water;;320;50;52;48;65;50;55;1;False;428.7476531
55;Golduck;Water;;500;80;82;78;95;80;85;1;False;911.7484028
56;Mankey;Fighting;;305;40;80;35;35;45;70;1;False;498.1842029
57;Primeape;Fighting;;455;65;105;60;60;70;95;1;False;929.5160031
58;Growlithe;Fire;;350;55;70;45;70;50;60;1;False;550.8629594
59;Arcanine;Fire;;555;90;110;80;100;80;95;1;False;1248.436522
60;Poliwag;Water;;300;40;50;40;40;40;90;1;False;357.5
61;Poliwhirl;Water;;385;65;65;65;50;50;90;1;False;640
62;Poliwrath;Water;Fighting;510;90;95;95;70;90;70;1;False;1182.180189
63;Abra;Psychic;;310;25;20;15;105;55;90;1;False;121.2435565
64;Kadabra;Psychic;;400;40;35;30;120;70;105;1;False;248.7468593
65;Alakazam;Psychic;;500;55;50;45;135;95;120;1;False;421.2481454
65;AlakazamMega Alakazam;Psychic;;590;55;50;65;175;95;150;1;False;486.4154603
66;Machop;Fighting;;305;70;80;50;35;35;35;1;False;706.1382655
67;Machoke;Fighting;;405;80;100;70;50;60;45;1;False;1033.401543
68;Machamp;Fighting;;505;90;130;80;65;85;55;1;False;1448.186366
69;Bellsprout;Grass;Poison;300;50;75;35;70;30;40;1;False;513.0789413
70;Weepinbell;Grass;Poison;390;65;90;50;85;45;55;1;False;757.1657678
71;Victreebel;Grass;Poison;490;80;105;65;100;70;70;1;False;1046.135746
72;Tentacool;Water;Poison;335;40;40;35;50;100;70;1;False;288.4224332
73;Tentacruel;Water;Poison;515;80;70;65;80;120;100;1;False;741.0128204
74;Geodude;Rock;Ground;300;40;80;100;30;30;20;1;False;755.5337517
75;Graveler;Rock;Ground;390;55;95;115;45;45;35;1;False;1049.333122
76;Golem;Rock;Ground;495;80;120;130;55;65;45;1;False;1584.45377
77;Ponyta;Fire;;410;50;85;55;65;65;90;1;False;674.5368782
78;Rapidash;Fire;;500;65;100;70;80;80;105;1;False;948.3142939
79;Slowpoke;Water;Psychic;315;90;65;65;40;40;15;1;False;733.2121112
80;Slowbro;Water;Psychic;490;95;75;110;100;80;30;1;False;1055.343546
80;SlowbroMega Slowbro;Water;Psychic;590;95;75;180;130;80;30;1;False;1318.123666
81;Magnemite;Electric;Steel;325;25;35;70;95;55;45;1;False;291.5475947
82;Magneton;Electric;Steel;465;50;60;95;120;70;70;1;False;634.1825447
83;Farfetch'd;Normal;Flying;352;52;65;55;58;62;60;1;False;547.8685974
84;Doduo;Normal;Flying;310;35;85;45;35;35;75;1;False;547.7225575
85;Dodrio;Normal;Flying;460;60;110;70;60;60;100;1;False;998.0449639
86;Seel;Water;;325;65;45;55;45;70;45;1;False;448.9988864
87;Dewgong;Water;Ice;475;90;70;80;70;95;70;1;False;848.9368351
88;Grimer;Poison;;325;80;80;50;40;50;25;1;False;746.5210982
89;Muk;Poison;;500;105;105;75;65;100;50;1;False;1247.076581
90;Shellder;Water;;305;30;65;100;45;25;40;1;False;575.4997828
91;Cloyster;Water;Ice;525;50;95;180;85;45;70;1;False;1238.416327
92;Gastly;Ghost;Poison;310;30;35;30;100;35;80;1;False;225
93;Haunter;Ghost;Poison;405;45;50;45;115;55;95;1;False;390
94;Gengar;Ghost;Poison;500;60;65;60;130;75;110;1;False;600
94;GengarMega Gengar;Ghost;Poison;600;60;65;80;170;95;130;1;False;675.2777206
95;Onix;Rock;Ground;385;35;45;160;30;45;70;1;False;561.248608
96;Drowzee;Psychic;;328;60;48;45;43;90;42;1;False;422.6168477
97;Hypno;Psychic;;483;85;73;70;73;115;67;1;False;811.3199122
98;Krabby;Water;;325;30;105;90;25;25;50;1;False;824.8636251
99;Kingler;Water;;475;55;130;115;50;50;75;1;False;1383.211842
100;Voltorb;Electric;;330;40;30;50;55;55;100;1;False;269.0608667
101;Electrode;Electric;;480;60;50;70;80;80;140;1;False;518.9833812
102;Exeggcute;Grass;Psychic;325;60;40;80;60;45;40;1;False;464.2534329
103;Exeggutor;Grass;Psychic;520;95;95;85;125;65;55;1;False;1153.689733
104;Cubone;Ground;;320;50;50;95;40;50;35;1;False;549.6248721
105;Marowak;Ground;;425;60;80;110;50;80;45;1;False;919.8335447
106;Hitmonlee;Fighting;;455;50;120;53;35;110;87;1;False;897.5215875
107;Hitmonchan;Fighting;;455;50;105;79;35;110;76;1;False;937.9978678
108;Lickitung;Normal;;385;90;55;75;60;75;30;1;False;680.4777733
109;Koffing;Poison;;340;40;65;95;60;45;35;1;False;622.2539674
110;Weezing;Poison;;490;65;90;120;85;70;60;1;False;1091.192009
111;Rhyhorn;Ground;Rock;345;80;85;95;30;30;25;1;False;1022.252415
112;Rhydon;Ground;Rock;485;105;130;120;45;45;40;1;False;1845.548699
113;Chansey;Normal;;450;250;5;5;35;105;50;1;False;145.6021978
114;Tangela;Grass;;435;65;55;115;100;40;60;1;False;713.8627319
115;Kangaskhan;Normal;;490;105;95;80;40;80;90;1;False;1174.478608
115;KangaskhanMega Kangaskhan;Normal;;590;105;125;100;60;100;100;1;False;1644.627617
116;Horsea;Water;;295;30;40;70;70;25;60;1;False;340.1562141
117;Seadra;Water;;440;55;65;95;95;45;85;1;False;701.997151
118;Goldeen;Water;;320;45;67;60;35;50;63;1;False;550.0727225
119;Seaking;Water;;450;80;92;65;65;80;68;1;False;932.8043739
120;Staryu;Water;;340;30;45;55;70;55;85;1;False;336.7491648
121;Starmie;Water;Psychic;520;60;75;85;100;85;115;1;False;779.4228634
122;Mr. Mime;Psychic;Fairy;460;40;45;65;100;120;90;1;False;397.9949748
123;Scyther;Bug;Flying;500;70;110;80;55;80;105;1;False;1123.262547
124;Jynx;Ice;Psychic;455;65;50;35;115;95;95;1;False;411.0960958
125;Electabuzz;Electric;;490;65;83;57;95;85;105;1;False;743.7677057
126;Magmar;Fire;;495;65;95;57;100;85;93;1;False;834.8413023
127;Pinsir;Bug;;500;65;125;100;55;70;85;1;False;1342.832827
127;PinsirMega Pinsir;Bug;Flying;600;65;155;120;65;90;105;1;False;1766.691824
128;Tauros;Normal;;490;75;100;95;40;70;110;1;False;1144.235553
129;Magikarp;Water;;200;20;10;55;15;20;80;1;False;123.7436867
130;Gyarados;Water;Flying;540;95;125;79;60;100;81;1;False;1423.601068
130;GyaradosMega Gyarados;Water;Dark;640;95;155;109;70;130;81;1;False;1985.43698
131;Lapras;Water;Ice;535;130;85;80;85;95;60;1;False;1173.669459
132;Ditto;Normal;;288;48;48;48;48;48;48;1;False;396.9
133;Eevee;Normal;;325;55;55;50;45;65;55;1;False;472.1758147
134;Vaporeon;Water;;525;130;65;60;110;95;65;1;False;834.2661446
135;Jolteon;Electric;;525;65;65;60;110;95;130;1;False;619.6773354
136;Flareon;Fire;;525;65;130;60;95;110;65;1;False;1123.16517
137;Porygon;Normal;;395;65;60;70;85;75;40;1;False;618.4658438
138;Omanyte;Rock;Water;355;35;40;100;90;55;35;1;False;417.0581494
139;Omastar;Rock;Water;495;70;60;125;115;70;55;1;False;818.1534086
140;Kabuto;Rock;Water;355;30;80;90;55;45;55;1;False;653.0170365
141;Kabutops;Rock;Water;495;60;115;105;65;70;80;1;False;1233.288287
142;Aerodactyl;Rock;Flying;515;80;105;65;60;75;130;1;False;1046.135746
142;AerodactylMega Aerodactyl;Rock;Flying;615;80;135;85;70;95;150;1;False;1462.019152
143;Snorlax;Normal;;540;160;110;65;65;110;30;1;False;1479.019946
144;Articuno;Ice;Flying;580;90;85;100;95;125;85;1;True;1098.863049
145;Zapdos;Electric;Flying;580;90;90;85;125;90;100;1;True;1075.92983
146;Moltres;Fire;Flying;580;90;100;90;125;85;90;1;True;1207.5
147;Dratini;Dragon;;300;41;64;45;50;50;50;1;False;457.9275052
148;Dragonair;Dragon;;420;61;84;65;70;70;70;1;False;771.9461121
149;Dragonite;Dragon;Flying;600;91;134;95;100;100;80;1;False;1608.92405
150;Mewtwo;Psychic;;680;106;110;90;154;90;130;1;True;1408.95573
150;MewtwoMega Mewtwo X;Psychic;Fighting;780;106;190;100;154;100;130;1;True;2418.218094
150;MewtwoMega Mewtwo Y;Psychic;;780;106;150;70;194;120;140;1;True;1673.347319
151;Mew;Psychic;;600;100;100;100;100;100;100;1;False;1322.5
152;Chikorita;Grass;;318;45;49;65;49;65;45;2;False;443.4050067
153;Bayleef;Grass;;405;60;62;80;63;80;60;2;False;649.9548061
154;Meganium;Grass;;525;80;82;100;83;100;80;2;False;1013.870431
155;Cyndaquil;Fire;;309;39;52;43;60;50;65;2;False;374.9606379
156;Quilava;Fire;;405;58;64;58;80;65;80;2;False;576.7
157;Typhlosion;Fire;;534;78;84;78;109;85;100;2;False;920.7
158;Totodile;Water;;314;50;65;64;44;48;43;2;False;573.2713145
159;Croconaw;Water;;405;65;80;80;59;63;58;2;False;828.1907993
160;Feraligatr;Water;;530;85;105;100;79;83;78;2;False;1286.856635
161;Sentret;Normal;;215;35;46;34;35;45;20;2;False;301.9345956
162;Furret;Normal;;415;85;76;64;45;55;90;2;False;808.825692
163;Hoothoot;Normal;Flying;262;60;30;30;36;56;50;2;False;261.4263759
164;Noctowl;Normal;Flying;442;100;50;50;76;96;70;2;False;561.9775351
165;Ledyba;Bug;Flying;265;40;20;30;40;80;55;2;False;174.1228015
166;Ledian;Bug;Flying;390;55;35;50;55;110;85;2;False;337.2684391
167;Spinarak;Bug;Poison;250;40;60;40;40;40;30;2;False;412.5
168;Ariados;Bug;Poison;390;70;90;70;60;60;40;2;False;892.5
169;Crobat;Poison;Flying;535;85;90;80;70;80;130;2;False;1023.413406
170;Chinchou;Water;Electric;330;75;38;38;56;56;67;2;False;366.045489
171;Lanturn;Water;Electric;460;125;58;58;76;76;67;2;False;737.9863142
172;Pichu;Electric;;205;20;40;15;35;35;60;2;False;178.2203692
173;Cleffa;Fairy;;218;50;25;28;45;55;15;2;False;211.4710382
174;Igglybuff;Normal;Fairy;210;90;30;15;40;20;15;2;False;252.5618736
175;Togepi;Fairy;;245;35;20;65;40;65;20;2;False;221.3594362
176;Togetic;Fairy;Flying;405;55;40;85;80;105;40;2;False;460.1630146
177;Natu;Psychic;Flying;320;40;50;45;70;45;70;2;False;373.396572
178;Xatu;Psychic;Flying;470;65;75;70;95;70;95;2;False;742.1590126
179;Mareep;Electric;;280;55;40;40;65;45;35;2;False;341.2660253
180;Flaaffy;Electric;;365;70;55;55;80;60;45;2;False;539.9537017
181;Ampharos;Electric;;510;90;75;85;115;90;55;2;False;922.2255689
181;AmpharosMega Ampharos;Electric;Dragon;610;90;95;105;165;110;45;2;False;1234.746938
182;Bellossom;Grass;;490;75;80;95;90;100;50;2;False;945.2380653
183;Marill;Water;Fairy;250;70;20;50;20;50;40;2;False;260.1562031
184;Azumarill;Water;Fairy;420;100;50;80;60;80;50;2;False;679.3977112
185;Sudowoodo;Rock;;410;70;100;115;30;65;30;2;False;1208.868272
186;Politoed;Water;;500;90;75;75;90;100;70;2;False;874.8999943
187;Hoppip;Grass;Flying;250;35;35;40;35;55;50;2;False;262.202212
188;Skiploom;Grass;Flying;340;55;45;50;45;65;80;2;False;404.7221269
189;Jumpluff;Grass;Flying;460;75;55;70;55;95;110;2;False;612.249949
190;Aipom;Normal;;360;55;70;55;40;55;85;2;False;595
191;Sunkern;Grass;;180;30;30;30;30;30;30;2;False;202.5
192;Sunflora;Grass;;425;75;75;55;105;85;30;2;False;714.352854
193;Yanma;Bug;Flying;390;65;65;45;75;45;95;2;False;554.2562584
194;Wooper;Water;Ground;210;55;45;45;25;25;15;2;False;388.8444419
195;Quagsire;Water;Ground;430;95;85;85;65;65;35;2;False;1048.808848
196;Espeon;Psychic;;525;65;65;60;130;95;110;2;False;619.6773354
197;Umbreon;Dark;;525;95;65;110;60;130;65;2;False;938.083152
198;Murkrow;Dark;Flying;405;60;85;42;85;42;91;2;False;653.8348415
199;Slowking;Water;Psychic;490;95;75;80;100;110;30;2;False;920.0271735
200;Misdreavus;Ghost;;435;60;60;60;85;85;85;2;False;562.5
201;Unown;Psychic;;336;48;72;48;72;48;48;2;False;548.1
202;Wobbuffet;Psychic;;405;190;33;58;33;58;33;2;False;587.1912806
203;Girafarig;Normal;Psychic;455;70;80;65;90;65;85;2;False;783.3900689
204;Pineco;Bug;;290;50;65;90;35;35;15;2;False;660.9084657
205;Forretress;Bug;Steel;465;75;90;140;60;60;40;2;False;1240.15624
206;Dunsparce;Normal;;415;100;70;70;65;65;45;2;False;840.3830972
207;Gligar;Ground;Flying;430;65;75;105;35;65;85;2;False;881.8163074
208;Steelix;Steel;Ground;510;75;85;200;55;65;30;2;False;1391.042774
208;SteelixMega Steelix;Steel;Ground;610;75;125;230;55;95;30;2;False;2078.893937
209;Snubbull;Fairy;;300;60;80;50;40;40;30;2;False;663.3014021
210;Granbull;Fairy;;450;90;120;75;60;60;45;2;False;1312.349991
211;Qwilfish;Water;Poison;430;65;95;75;55;55;85;2;False;933.3809512
212;Scizor;Bug;Steel;500;70;130;100;55;80;65;2;False;1433.594695
212;ScizorMega Scizor;Bug;Steel;600;70;150;140;65;100;75;2;False;1893.909647
213;Shuckle;Bug;Rock;505;20;10;230;10;230;5;2;False;231.5032397
214;Heracross;Bug;Fighting;500;80;125;75;40;95;85;2;False;1294.526941
214;HeracrossMega Heracross;Bug;Fighting;600;80;185;115;40;105;75;2;False;2222.611077
215;Sneasel;Dark;Ice;430;55;95;55;35;75;115;2;False;770
216;Teddiursa;Normal;;330;60;80;50;50;50;40;2;False;663.3014021
217;Ursaring;Normal;;500;90;130;75;75;75;55;2;False;1409.561102
218;Slugma;Fire;;250;40;40;40;70;40;20;2;False;302.5
219;Magcargo;Fire;Rock;410;50;50;120;80;80;30;2;False;608.8873048
220;Swinub;Ice;Ground;250;50;50;40;30;30;50;2;False;388.6434742
221;Piloswine;Ice;Ground;450;100;100;80;60;60;50;2;False;1202.011335
222;Corsola;Water;Rock;380;55;55;85;65;85;35;2;False;585.6620186
223;Remoraid;Water;;300;35;65;35;65;35;65;2;False;400
224;Octillery;Water;;480;75;105;75;105;75;45;2;False;1080
225;Delibird;Ice;Flying;330;45;55;45;65;45;75;2;False;420
226;Mantine;Water;Flying;465;65;40;70;80;140;70;2;False;453.5416188
227;Skarmory;Steel;Flying;465;65;80;140;40;70;70;2;False;1057.875229
228;Houndour;Dark;Fire;330;45;60;30;80;50;65;2;False;389.7114317
229;Houndoom;Dark;Fire;500;75;90;50;110;80;95;2;False;803.0955734
229;HoundoomMega Houndoom;Dark;Fire;600;75;90;90;140;90;115;2;False;1020.71666
230;Kingdra;Water;Dragon;540;75;95;95;95;95;85;2;False;1094.486181
231;Phanpy;Ground;;330;90;60;60;40;40;40;2;False;665.5589756
232;Donphan;Ground;;500;90;120;120;60;60;50;2;False;1607.293921
233;Porygon2;Normal;;515;85;80;90;105;95;60;2;False;973.4603228
234;Stantler;Normal;;465;73;95;62;85;65;85;2;False;905.4810876
235;Smeargle;Normal;;250;55;20;35;20;45;75;2;False;207.0627924
236;Tyrogue;Fighting;;210;35;35;35;35;35;35;2;False;250
237;Hitmontop;Fighting;;455;50;95;95;35;110;70;2;False;930.1343989
238;Smoochum;Ice;Psychic;305;45;30;15;85;65;65;2;False;190.9188309
239;Elekid;Electric;;360;45;63;37;65;55;95;2;False;435.6842894
240;Magby;Fire;;365;45;75;37;70;55;83;2;False;502.7126416
241;Miltank;Normal;;490;95;80;105;40;70;100;2;False;1091.466903
242;Blissey;Normal;;540;255;10;10;75;135;55;2;False;205.3959591
243;Raikou;Electric;;580;90;85;75;115;100;115;2;True;972.1111048
244;Entei;Fire;;580;115;115;85;90;75;100;2;True;1482.228053
245;Suicune;Water;;580;100;75;115;90;115;85;2;True;1100.431733
246;Larvitar;Rock;Ground;300;50;64;50;45;50;41;2;False;513.5
247;Pupitar;Rock;Ground;410;70;84;70;65;70;51;2;False;841.5
248;Tyranitar;Rock;Dark;600;100;134;110;95;100;61;2;False;1786.447242
248;TyranitarMega Tyranitar;Rock;Dark;700;100;164;150;95;120;71;2;False;2465.720939
249;Lugia;Psychic;Flying;680;106;90;130;90;154;110;2;True;1390.804174
250;Ho-oh;Fire;Flying;680;106;130;90;110;154;90;2;True;1634.388647
251;Celebi;Psychic;Grass;600;100;100;100;100;100;100;2;False;1322.5
252;Treecko;Grass;;310;40;45;35;65;55;70;3;False;314.6426545
253;Grovyle;Grass;;405;50;65;45;85;65;95;3;False;499.5998399
254;Sceptile;Grass;;530;70;85;65;105;85;120;3;False;824.6211251
254;SceptileMega Sceptile;Grass;Dragon;630;70;110;75;145;85;145;3;False;1093.30348
255;Torchic;Fire;;310;45;60;40;70;50;45;3;False;430.8421985
256;Combusken;Fire;Fighting;405;60;85;60;85;60;55;3;False;750
257;Blaziken;Fire;Fighting;530;80;120;70;110;70;80;3;False;1213.123551
257;BlazikenMega Blaziken;Fire;Fighting;630;80;160;80;130;80;100;3;False;1662.5
258;Mudkip;Water;;310;50;70;50;50;50;40;3;False;552.5
259;Marshtomp;Water;Ground;405;70;85;70;60;70;50;3;False;850
260;Swampert;Water;Ground;535;100;110;90;85;90;60;3;False;1373.578811
260;SwampertMega Swampert;Water;Ground;635;100;150;110;95;110;70;3;False;1978.280503
261;Poochyena;Dark;;220;35;55;35;30;30;35;3;False;350
262;Mightyena;Dark;;420;70;90;70;60;60;70;3;False;892.5
263;Zigzagoon;Normal;;240;38;30;41;30;41;60;3;False;245.1570925
264;Linoone;Normal;;420;78;70;61;50;61;100;3;False;714.6068849
265;Wurmple;Bug;;195;45;45;35;20;30;20;3;False;328.6335345
266;Silcoon;Bug;;205;50;35;55;25;25;15;3;False;337.2684391
267;Beautifly;Bug;Flying;395;60;70;50;100;50;65;3;False;593.4802019
268;Cascoon;Bug;;205;50;35;55;25;25;15;3;False;337.2684391
269;Dustox;Bug;Poison;385;60;50;70;50;90;65;3;False;518.9833812
270;Lotad;Water;Grass;220;40;30;30;40;50;30;3;False;223.8721733
271;Lombre;Water;Grass;340;60;50;50;60;70;50;3;False;453.8378014
272;Ludicolo;Water;Grass;480;80;70;70;90;100;70;3;False;763.8185321
273;Seedot;Grass;;220;40;40;50;30;30;30;3;False;328.8521704
274;Nuzleaf;Grass;Dark;340;70;70;40;60;40;60;3;False;581.1787591
275;Shiftry;Grass;Dark;480;90;100;60;90;60;80;3;False;1020.523763
276;Taillow;Normal;Flying;270;40;55;30;30;30;85;3;False;348.245603
277;Swellow;Normal;Flying;430;60;85;60;50;50;125;3;False;750
278;Wingull;Water;Flying;270;40;30;30;55;30;85;3;False;223.8721733
279;Pelipper;Water;Flying;430;60;50;100;85;70;65;3;False;603.6607077
280;Ralts;Psychic;Fairy;198;28;25;25;45;35;40;3;False;165.8915308
281;Kirlia;Psychic;Fairy;278;38;35;35;65;55;50;3;False;257.3907535
282;Gardevoir;Psychic;Fairy;518;68;65;65;125;115;80;3;False;651.8895612
282;GardevoirMega Gardevoir;Psychic;Fairy;618;68;85;65;165;135;100;3;False;814.8619515
283;Surskit;Bug;Water;269;40;30;32;50;52;65;3;False;228.7930287
284;Masquerain;Bug;Flying;414;70;60;62;80;82;60;3;False;606.7588071
285;Shroomish;Grass;;295;60;40;60;40;60;35;3;False;412.5
286;Breloom;Grass;Fighting;460;60;130;80;60;60;70;3;False;1223.940869
287;Slakoth;Normal;;280;60;60;60;35;35;30;3;False;562.5
288;Vigoroth;Normal;;440;80;80;80;55;55;90;3;False;902.5
289;Slaking;Normal;;670;150;160;100;95;65;100;3;False;2410.62103
290;Nincada;Bug;Ground;266;31;45;90;30;30;40;3;False;416.9892085
291;Ninjask;Bug;Flying;456;61;90;45;50;50;160;3;False;709.0416067
292;Shedinja;Bug;Ghost;236;1;90;45;30;30;40;3;False;325.3306011
293;Whismur;Normal;;240;64;51;23;51;23;28;3;False;361.6173668
294;Loudred;Normal;;360;84;71;43;71;43;48;3;False;651.6734765
295;Exploud;Normal;;490;104;91;63;91;73;68;3;False;1021.23725
296;Makuhita;Fighting;;237;72;60;30;20;30;25;3;False;469.2747063
297;Hariyama;Fighting;;474;144;120;60;40;60;50;3;False;1474.222253
298;Azurill;Normal;Fairy;190;50;20;40;20;40;20;3;False;209.269563
299;Nosepass;Rock;;375;30;45;135;45;90;30;3;False;492.9503018
300;Skitty;Normal;;260;50;45;45;35;35;50;3;False;374.6998799
301;Delcatty;Normal;;380;70;65;65;55;55;70;3;False;659.6969001
302;Sableye;Dark;Ghost;380;50;75;75;65;65;50;3;False;688.3676343
302;SableyeMega Sableye;Dark;Ghost;480;50;85;125;85;115;20;3;False;953.9392014
303;Mawile;Steel;Fairy;380;50;85;85;55;55;50;3;False;806.2257748
303;MawileMega Mawile;Steel;Fairy;480;50;105;125;55;95;50;3;False;1144.727042
304;Aron;Steel;Rock;330;50;70;100;40;40;30;3;False;734.8936998
305;Lairon;Steel;Rock;430;60;90;140;50;50;40;3;False;1132.102579
306;Aggron;Steel;Rock;530;70;110;180;60;60;50;3;False;1609.299149
306;AggronMega Aggron;Steel;;630;70;140;230;60;80;50;3;False;2236.784802
307;Meditite;Fighting;Psychic;280;30;40;55;40;55;60;3;False;308.6867344
308;Medicham;Fighting;Psychic;410;60;60;75;60;75;80;3;False;616.1878772
308;MedichamMega Medicham;Fighting;Psychic;510;60;100;85;80;85;100;3;False;995.9292144
309;Electrike;Electric;;295;40;45;40;65;40;65;3;False;330
310;Manectric;Electric;;475;70;75;60;105;60;105;3;False;718.592374
310;ManectricMega Manectric;Electric;;575;70;75;80;135;80;135;3;False;808.749034
311;Plusle;Electric;;405;60;50;40;85;75;95;3;False;417.4700588
312;Minun;Electric;;405;60;40;50;75;85;95;3;False;384.0166012
313;Volbeat;Bug;;400;65;73;55;47;75;85;3;False;658.5317001
314;Illumise;Bug;;400;65;47;55;73;75;85;3;False;463.965516
315;Roselia;Grass;Poison;400;50;60;45;100;80;65;3;False;468.3748499
316;Gulpin;Poison;;302;70;43;53;43;53;40;3;False;440.9526052
317;Swalot;Poison;;467;100;73;83;73;83;55;3;False;934.2102547
318;Carvanha;Water;Dark;305;45;90;20;65;20;65;3;False;481.170448
319;Sharpedo;Water;Dark;460;70;120;40;95;40;95;3;False;923.0486174
319;SharpedoMega Sharpedo;Water;Dark;560;70;140;70;110;65;105;3;False;1317.5
320;Wailmer;Water;;400;130;70;35;70;35;60;3;False;723.7489206
321;Wailord;Water;;500;170;90;45;90;45;60;3;False;1106.243644
322;Numel;Fire;Ground;305;60;60;40;65;45;35;3;False;481.6962217
323;Camerupt;Fire;Ground;460;70;100;70;105;75;40;3;False;977.5
323;CameruptMega Camerupt;Fire;Ground;560;70;120;100;145;105;20;3;False;1334.726095
324;Torkoal;Fire;;470;70;85;140;85;70;20;3;False;1147.824028
325;Spoink;Psychic;;330;60;25;35;70;80;60;3;False;244.9489743
326;Grumpig;Psychic;;470;80;45;65;90;110;80;3;False;523.0678732
327;Spinda;Normal;;360;60;60;60;60;60;60;3;False;562.5
328;Trapinch;Ground;;290;45;100;45;45;45;10;3;False;690
