#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,CP,Over
204,Pineco,Bug,None,290,50,65,90,35,35,15,2,False,660.9084657,0
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False,1240.15624,1
206,Dunsparce,Normal,None,415,100,70,70,65,65,45,2,False,840.3830972,0
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,False,881.8163074,0
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False,1391.042774,1
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,False,2078.893937,1
209,Snubbull,Fairy,None,300,60,80,50,40,40,30,2,False,663.3014021,0
210,Granbull,Fairy,None,450,90,120,75,60,60,45,2,False,1312.349991,1
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,False,933.3809512,0
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False,1433.594695,1
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,False,1893.909647,1
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,False,231.5032397,0
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False,1294.526941,1
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,False,2222.611077,1
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,False,770,0
216,Teddiursa,Normal,None,330,60,80,50,50,50,40,2,False,663.3014021,0
217,Ursaring,Normal,None,500,90,130,75,75,75,55,2,False,1409.561102,1
218,Slugma,Fire,None,250,40,40,40,70,40,20,2,False,302.5,0
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False,608.8873048,0
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,False,388.6434742,0
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,False,1202.011335,1
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,False,585.6620186,0
223,Remoraid,Water,None,300,35,65,35,65,35,65,2,False,400,0
224,Octillery,Water,None,480,75,105,75,105,75,45,2,False,1080,0
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,False,420,0
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,False,453.5416188,0
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False,1057.875229,0
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,False,389.7114317,0
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False,803.0955734,0
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,False,1020.71666,0
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False,1094.486181,0
231,Phanpy,Ground,None,330,90,60,60,40,40,40,2,False,665.5589756,0
232,Donphan,Ground,None,500,90,120,120,60,60,50,2,False,1607.293921,1
233,Porygon2,Normal,None,515,85,80,90,105,95,60,2,False,973.4603228,0
234,Stantler,Normal,None,465,73,95,62,85,65,85,2,False,905.4810876,0
235,Smeargle,Normal,None,250,55,20,35,20,45,75,2,False,207.0627924,0
236,Tyrogue,Fighting,None,210,35,35,35,35,35,35,2,False,250,0
237,Hitmontop,Fighting,None,455,50,95,95,35,110,70,2,False,930.1343989,0
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,False,190.9188309,0
239,Elekid,Electric,None,360,45,63,37,65,55,95,2,False,435.6842894,0
240,Magby,Fire,None,365,45,75,37,70,55,83,2,False,502.7126416,0
241,Miltank,Normal,None,490,95,80,105,40,70,100,2,False,1091.466903,0
242,Blissey,Normal,None,540,255,10,10,75,135,55,2,False,205.3959591,0
243,Raikou,Electric,None,580,90,85,75,115,100,115,2,True,972.1111048,0
244,Entei,Fire,None,580,115,115,85,90,75,100,2,True,1482.228053,1
245,Suicune,Water,None,580,100,75,115,90,115,85,2,True,1100.431733,0
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,False,513.5,0
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,False,841.5,0
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False,1786.447242,1
248,TyranitarMega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,False,2465.720939,1
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True,1390.804174,1
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,True,1634.388647,1
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False,1322.5,1
252,Treecko,Grass,None,310,40,45,35,65,55,70,3,False,314.6426545,0
253,Grovyle,Grass,None,405,50,65,45,85,65,95,3,False,499.5998399,0
254,Sceptile,Grass,None,530,70,85,65,105,85,120,3,False,824.6211251,0
254,SceptileMega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,False,1093.30348,0
255,Torchic,Fire,None,310,45,60,40,70,50,45,3,False,430.8421985,0
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,False,750,0
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False,1213.123551,1
257,BlazikenMega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,False,1662.5,1
258,Mudkip,Water,None,310,50,70,50,50,50,40,3,False,552.5,0
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,False,850,0
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False,1373.578811,1
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False,1978.280503,1
261,Poochyena,Dark,None,220,35,55,35,30,30,35,3,False,350,0
262,Mightyena,Dark,None,420,70,90,70,60,60,70,3,False,892.5,0
263,Zigzagoon,Normal,None,240,38,30,41,30,41,60,3,False,245.1570925,0
264,Linoone,Normal,None,420,78,70,61,50,61,100,3,False,714.6068849,0
265,Wurmple,Bug,None,195,45,45,35,20,30,20,3,False,328.6335345,0
266,Silcoon,Bug,None,205,50,35,55,25,25,15,3,False,337.2684391,0
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,False,593.4802019,0
268,Cascoon,Bug,None,205,50,35,55,25,25,15,3,False,337.2684391,0
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,False,518.9833812,0
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,False,223.8721733,0
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False,453.8378014,0
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,False,763.8185321,0
273,Seedot,Grass,None,220,40,40,50,30,30,30,3,False,328.8521704,0
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,False,581.1787591,0
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,False,1020.523763,0
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,False,348.245603,0
277,Swellow,Normal,Flying,430,60,85,60,50,50,125,3,False,750,0
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False,223.8721733,0
279,Pelipper,Water,Flying,430,60,50,100,85,70,65,3,False,603.6607077,0
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,False,165.8915308,0
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,False,257.3907535,0
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,False,651.8895612,0
282,GardevoirMega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,False,814.8619515,0
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False,228.7930287,0
284,Masquerain,Bug,Flying,414,70,60,62,80,82,60,3,False,606.7588071,0
285,Shroomish,Grass,None,295,60,40,60,40,60,35,3,False,412.5,0
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False,1223.940869,1
287,Slakoth,Normal,None,280,60,60,60,35,35,30,3,False,562.5,0
288,Vigoroth,Normal,None,440,80,80,80,55,55,90,3,False,902.5,0
289,Slaking,Normal,None,670,150,160,100,95,65,100,3,False,2410.62103,1
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,False,416.9892085,0
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False,709.0416067,0
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,False,325.3306011,0
293,Whismur,Normal,None,240,64,51,23,51,23,28,3,False,361.6173668,0
294,Loudred,Normal,None,360,84,71,43,71,43,48,3,False,651.6734765,0
295,Exploud,Normal,None,490,104,91,63,91,73,68,3,False,1021.23725,0
296,Makuhita,Fighting,None,237,72,60,30,20,30,25,3,False,469.2747063,0
297,Hariyama,Fighting,None,474,144,120,60,40,60,50,3,False,1474.222253,1
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False,209.269563,0
299,Nosepass,Rock,None,375,30,45,135,45,90,30,3,False,492.9503018,0
300,Skitty,Normal,None,260,50,45,45,35,35,50,3,False,374.6998799,0
301,Delcatty,Normal,None,380,70,65,65,55,55,70,3,False,659.6969001,0
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False,688.3676343,0
302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False,953.9392014,0
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False,806.2257748,0
303,MawileMega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,False,1144.727042,0
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False,734.8936998,0
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,False,1132.102579,0
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False,1609.299149,1
306,AggronMega Aggron,Steel,None,630,70,140,230,60,80,50,3,False,2236.784802,1
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False,308.6867344,0
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,False,616.1878772,0
308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False,995.9292144,0
309,Electrike,Electric,None,295,40,45,40,65,40,65,3,False,330,0
